"Sample","Cell division","Tumor-immune-interaction","Acinar"
"MESO_001_T",0.368071448210324,0.286357096540462,0.345571455249214
"MESO_002_T2",0.320111913895518,0.54264286958728,0.137245216517202
"MESO_003_T2",0.416864433342736,0.16000846219259,0.423127104464675
"MESO_006_T",0.443982390880236,0,0.556017609119764
"MESO_007_T",0.146465522964384,0.0418256269406014,0.811708850095015
"MESO_009_T",0.228905450042265,0.338226262698367,0.432868287259368
"MESO_010_T",0.435694319945397,0,0.564305680054603
"MESO_011_T",0.408666095075099,0,0.591333904924902
"MESO_012_T",0,0.717970235247082,0.282029764752918
"MESO_013_T",0.338532886106443,0,0.661467113893558
"MESO_014_T",0.404244476650638,0.0493625068484794,0.546393016500883
"MESO_015_T",0.211871332979274,0.0646692841520996,0.723459382868627
"MESO_016_T",0.149873607920856,0.0335739560835298,0.816552435995614
"MESO_017_T",0.268243474003706,0.164464473117041,0.567292052879254
"MESO_018_T",0.348136572729171,0,0.651863427270829
"MESO_019_T",0.85344276266522,0.14655723733478,0
"MESO_020_T",0.032842656337034,0.379999119001659,0.587158224661307
"MESO_021_T",0.320639417761827,0.141223120319771,0.538137461918402
"MESO_022_T",0.0871440914979206,0.359225928602155,0.553629979899924
"MESO_023_T",0.116992266792113,0.658967292009458,0.224040441198429
"MESO_024_T",0.354109910338043,0.532436161330987,0.11345392833097
"MESO_025_T",0.436203918795545,0.104903570469738,0.458892510734717
"MESO_026_T",0.0345931439306233,0.220288963265905,0.745117892803471
"MESO_027_T",0.322250008565216,0.140941577240366,0.536808414194418
"MESO_028_T",0.0780605155679505,0.134538069319491,0.787401415112558
"MESO_029_T",0.346633591377167,0.121733117205659,0.531633291417175
"MESO_030_T",0,0.918406929134524,0.0815930708654759
"MESO_031_T",0.29505801733486,0.264896601403543,0.440045381261597
"MESO_032_T",0.251541150851846,0.437835606002178,0.310623243145976
"MESO_033_T",0,0.628199025587181,0.371800974412819
"MESO_034_T",0,0.553131682124414,0.446868317875586
"MESO_035_T",0.180837774550612,0.465181069054446,0.353981156394942
"MESO_036_T",0.0583383282906083,0.536526388308756,0.405135283400636
"MESO_037_T",0.634598150989081,0.0942606762399396,0.27114117277098
"MESO_038_T",0.292897923885077,0.290525770274782,0.416576305840141
"MESO_039_T",0.077297762222881,0.594394720831126,0.328307516945993
"MESO_040_T",0.312696192611227,0.221138094705463,0.466165712683311
"MESO_041_T1",0.141633007668215,0.485868237338583,0.372498754993202
"MESO_042_T1",0,0.506103778742078,0.493896221257923
"MESO_043_T",0,0.349184149385154,0.650815850614846
"MESO_044_T",0.375760995960814,0.409288153039664,0.214950850999522
"MESO_045_T",0,0.789183580139189,0.210816419860811
"MESO_046_T",0.480095087986246,0,0.519904912013754
"MESO_047_T",0.237235634025672,0.505099445599623,0.257664920374705
"MESO_048_T1",0.466425851836364,0.0879672392290477,0.445606908934588
"MESO_049_T",0.0850905440743011,0.258359443483091,0.656550012442608
"MESO_050_T",0.0246490600100231,0.838695521700779,0.136655418289198
"MESO_051_T",0.32185395348263,0.216895383044278,0.461250663473093
"MESO_052_T2",0.113174395707904,0.237056395351236,0.64976920894086
"MESO_053_T",0.307845384038019,0.0140700495428605,0.67808456641912
"MESO_054_T",0,0.461518519229625,0.538481480770376
