"Sample","sc-enriched","Ca A1","Ca B","Ca A2"
"LNEN002",0.0452429861716631,0.0453494648869693,0.851363665257026,0.0580438836843413
"LNEN003",0.0765273489811296,0.0378946102497553,0.068766299635376,0.816811741133739
"LNEN004",0.0669670629803942,0.00917610107886635,0.0412313669718725,0.882625468968867
"LNEN005",0.996121531654965,0.00387846834503497,0,0
"LNEN006",0.108588770527542,0.0970952629729765,0.155060019192271,0.639255947307211
"LNEN007",0.0332576514625725,0,0.903090207297847,0.0636521412395799
"LNEN008",0.000487001934564635,0.0336356477274199,0.925700360169112,0.0401769901689029
"LNEN009",0.367752826510148,0,0.481412245152427,0.150834928337426
"LNEN010",0.0176307753937623,0,0.982369224606238,0
"LNEN011",0.0385846349660488,0.0401502356101461,0,0.921265129423805
"LNEN012",0.82194196502785,0,0.131046231647164,0.0470118033249862
"LNEN013",0.103665207738472,0.755248223756297,0.0901662192965883,0.0509203492086422
"LNEN014",0.00185150821817226,0,0.998148491781828,0
"LNEN015",0.117820303702571,0.0574698443720354,0.817449900963396,0.00725995096199733
"LNEN016",0.336830741625398,0.0349659220224553,0.0214210184385861,0.60678231791356
"LNEN017",0.238622015522728,0,0.744334305575672,0.0170436789015999
"LNEN018",0.135559899268232,0.0748009096980465,0.178033123062386,0.611606067971336
"LNEN019",0.222832391656215,0.624623856035547,0.129763989697163,0.0227797626110749
"LNEN020",0.210946799250399,0,0.743246483669163,0.0458067170804388
"LNEN021",0.266207457715748,0.660916393552271,0.07287614873198,0
"LNEN022",0.743951973875859,0.110512593228751,0.0444419559766474,0.101093476918743
"LNEN023",0,0,0.173937238974179,0.826062761025821
"LNEN024",0.12329138919036,0.249672606662074,0.0320208442157415,0.595015159931824
"LNEN025",0.124343510089453,0,0.0160232086661395,0.859633281244407
"LNEN026",0.200228365869344,0.298577908695369,0.501193725435287,0
"LNEN027",0.179363269625878,0.47678268103062,0,0.343854049343501
"LNEN028",0.223880458094084,0.0384313703172534,0.0506038854369015,0.687084286151761
"LNEN029",0.167982630869907,0,0.785961143269271,0.0460562258608228
"LNEN030",0.258650581166045,0.0413662854048539,0,0.699983133429101
"LNEN031",0.0892757356572507,0.0253494794364962,0.0204968706736541,0.864877914232599
"LNEN032",0.0370818910619422,0,0.000498029580058901,0.962420079357999
"LNEN033",0.134577406984635,0.0539500803234613,0,0.811472512691903
"LNEN034",0.195471624127906,0.620244997690659,0.184283378181434,0
"LNEN035",0.324876358813215,0.0141470062084449,0.636023407540664,0.024953227437677
"LNEN036",0.0865013508327211,0.0793768410393238,0.834121808127955,0
"LNEN037",0.503139664687231,0.42470400302713,0,0.0721563322856392
"LNEN038",0,0.0754040986031329,0.113366017708403,0.811229883688464
"LNEN039",0.190534506927658,0.693749362040742,0,0.1157161310316
"LNEN040",0.122100028208148,0,0.00401920131775738,0.873880770474094
"LNEN044_TU",0.266916950529664,0.684775027414414,0.0483080220559218,0
"LNEN047_TU",0.0386840110457585,0.810094492301028,0.101503310515768,0.0497181861374452
"LNEN048_TU",0.0764050982345877,0.779088104901769,0.126842330255709,0.0176644666079344
"LNEN050_TU",0.021887778327883,0.659854858882684,0.270079555925425,0.048177806864007
"LNEN051_TU",0.0189861365265466,0,0.0718807319674866,0.909133131505967
"LNEN052_TU",0.0097958703393588,0.066335450495122,0.852512234147621,0.0713564450178978
"LNEN053_TU",0,0.0253990151577556,0.93598945825902,0.0386115265832239
"LNEN054_TU",0.229863215430727,0,0.138230020124732,0.631906764444541
"LNEN055_TU",0.152501265840857,0,0.0974093082737829,0.750089425885361
"LNEN056_TU",0.211649209692529,0.243260539658559,0.0937897275255075,0.451300523123405
"LNEN057_TU",0.177134128786181,0.627367578675256,0.167166549083025,0.0283317434555379
"LNEN058_TU",0.19877459477064,0,0.792792515780161,0.00843288944919904
"LNEN060_TU",0.224570629365266,0.0446931933289256,0.114317580023519,0.61641859728229
"LNEN061_TU",0.282234149966471,0.071143627008698,0.0682721649946342,0.578350058030197
"LNEN063_TU",0.114258346458727,0.800023140774002,0.0857185127672708,0
"LNEN064_TU",0.108733880487437,0.0246678192955562,0.128091679836106,0.738506620380901
"LNEN066_TU",0.0637323579105473,0,0.936267642089453,0
