"Sample","Morphology_LF","Adaptive-response_LF"
"MESO_001_T",-0.505554958,-0.146773428
"MESO_002_T2",-1.597689175,1.0533992
"MESO_003_T2",-0.154642142,-0.777951914
"MESO_006_T",0.770988661,-2.580185429
"MESO_007_T",2.529942392,-0.872023601
"MESO_009_T",0.238647669,0.299433494
"MESO_010_T",0.648004061,-1.689891611
"MESO_011_T",0.819021492,-1.502630122
"MESO_012_T",-0.123958483,2.427155565
"MESO_013_T",1.442228397,-1.868689032
"MESO_014_T",0.565335033,-1.24376592
"MESO_015_T",1.913064963,-0.874476063
"MESO_016_T",2.551208763,-0.913592888
"MESO_017_T",0.928254751,-0.524996286
"MESO_018_T",1.39101688,-1.98058884
"MESO_019_T",-4.193827704,-1.262898673
"MESO_020_T",1.464178247,0.790679101
"MESO_021_T",0.669063767,-0.709288014
"MESO_022_T",1.176818611,0.614227878
"MESO_023_T",-0.741254583,1.882938994
"MESO_024_T",-1.793439171,0.955209995
"MESO_025_T",0.012872989,-1.050182251
"MESO_026_T",2.354549224,0.086951267
"MESO_027_T",0.658647951,-0.713053036
"MESO_028_T",2.515522583,-0.357677482
"MESO_029_T",0.585501702,-0.835652843
"MESO_030_T",-1.126059837,3.476616378
"MESO_031_T",0.160220081,-0.126302984
"MESO_032_T",-0.493575775,0.70107809
"MESO_033_T",0.668704839,2.400271696
"MESO_034_T",0.872884838,1.786681348
"MESO_035_T",-0.121101878,0.932133467
"MESO_036_T",0.388667078,1.437649011
"MESO_037_T",-1.406131467,-1.408457666
"MESO_038_T",0.031350606,-0.010422542
"MESO_039_T",-0.080032728,1.661862745
"MESO_040_T",0.276237624,-0.346061481
"MESO_041_T1",0.054185113,1.084498966
"MESO_042_T1",1.162111461,1.610181644
"MESO_043_T",2.142841422,1.041428392
"MESO_044_T",-1.258263862,0.380703561
"MESO_045_T",0.015074806,3.438067452
"MESO_046_T",0.433570048,-2.313266141
"MESO_047_T",-0.767402429,1.018769419
"MESO_048_T1",-0.116656021,-1.171978213
"MESO_049_T",1.762694784,0.174742897
"MESO_050_T",-1.069410339,2.816796489
"MESO_051_T",0.231957761,-0.379064599
"MESO_052_T2",1.673808028,0.037138809
"MESO_053_T",1.483713609,-1.247279507
"MESO_054_T",1.52053027,1.551385414
"MESO_055_T",-1.392427597,1.275602126
"MESO_056_T2",1.239081365,-1.309338132
"MESO_057_T2",1.589577969,-1.434783174
"MESO_058_T2",-0.349238702,1.536451582
"MESO_059_T1",1.140506987,1.401588965
"MESO_060_T",3.941412499,-0.799762617
"MESO_061_T",-2.636865826,3.640940616
"MESO_062_T2",1.526423377,1.652752782
"MESO_063_T",0.728473081,1.158186942
"MESO_064_T",0.323662072,-1.367170413
"MESO_065_T",1.770658204,0.751459517
"MESO_066_T",0.012930037,0.886793092
"MESO_067_T",0.611416379,0.127017627
"MESO_068_T",0.650105912,1.241630041
"MESO_069_T",1.400660307,0.608224152
"MESO_070_T",-1.547391899,1.735605464
"MESO_071_T",3.084168128,-0.694688803
"MESO_072_T",-1.251841756,-1.629713904
"MESO_073_T",0.718945709,0.231651655
"MESO_074_T",0.067290837,-1.830344192
"MESO_075_T",0.234544156,-0.056860905
"MESO_076_T",0.377327555,0.019619996
"MESO_077_T",0.606241169,-1.444506452
"MESO_078_T",0.481643898,-1.565497347
"MESO_079_T",-1.142718386,3.534355543
"MESO_080_T",0.5936216,-0.990278889
"MESO_081_T",0.772253526,1.153560208
"MESO_082_T",-1.924348183,-0.84336876
"MESO_083_T",1.496176157,-1.185408817
"MESO_084_T",1.366233783,0.48104486
"MESO_085_T",3.795960239,-0.82269976
"MESO_086_T",1.378815342,1.455118883
"MESO_087_T",0.796485271,0.242236074
"MESO_088_T",0.684956051,-0.999552574
"MESO_089_T",3.199378801,0.232241488
"MESO_090_T",-0.317509248,2.198432794
"MESO_091_T",0.037794307,-0.692517241
"MESO_092_T",3.085998492,-1.255942442
"MESO_093_T",0.269380072,0.288914531
"MESO_094_T1",-1.949937324,2.688194834
"MESO_095_T",-1.123941647,0.136837264
"MESO_097_T",-3.750225855,-2.688339668
"MESO_098_T",-3.897508751,-1.216835215
"MESO_099_T",-2.343505677,1.2909155
"MESO_100_T",-2.616541997,-1.685720304
"MESO_101_T",-3.213116644,-0.944202206
"MESO_102_T",-0.601206374,-0.782966614
"MESO_103_T",-0.461823152,1.382559717
"MESO_104_T",-2.600694553,-1.246440779
"MESO_105_T",-2.284850136,-2.497172693
"MESO_106_T",-2.2351702,3.413516002
"MESO_107_T",-3.271041037,0.000422138
"MESO_108_T",-4.330780317,-0.593692038
"MESO_109_T",-2.833396132,-1.316645157
"MESO_110_T",-2.589348794,-1.808926986
"MESO_111_T",0.814315187,-2.511835217
"MESO_112_T",-2.947415452,-2.068168825
"MESO_113_T",-2.693513825,0.024143099
"MESO_114_T",-2.458199982,0.204186349
"MESO_115_T",0.930498247,-0.390813666
"MESO_116_T",0.56221831,0.232703859
"MESO_117_T",-1.737241875,-0.107614481
"MESO_118_T",-0.422559745,-2.177994348
"MESO_119_T",0.931866249,0.009322957
"MESO_120_T",-0.277035986,0.398175236
"MESO_121_T",0.565685929,-0.65821835
"MESO_122_T",-0.725981198,0.876551298
"MESO_123_T",0.864118915,-1.069594293
"MESO_124_T",-0.478497011,0.573169026
"SRR18543972",0.105533309280872,-2.21868896484375
