sample_id	K4_sce_proportion	K4_A1_proportion	K4_B_proportion	K4_A2_proportion	archetype_k4_LF3_label
LNEN002	0.0460134036570209	0.0465030700233613	0.852006403575937	0.0554771227436809	Ca B
LNEN003	0.0770646347288024	0.0360927613786437	0.0714371943915898	0.815405409500964	Ca A2
LNEN004	0.0674746563829171	0.00780671269043875	0.043938558940766	0.880780071985878	Ca A2
LNEN005	0.994685764163747	0.00531423583625288	0	0	sc-enriched
LNEN006	0.109124133023228	0.0944897040533401	0.15761532547261	0.638770837450822	Ca A2
LNEN007	0.034396566535289	0	0.903741749475922	0.0618616839887894	Ca B
LNEN008	0.00146527234954383	0.0353836304207257	0.926037245117404	0.0371138521123263	Ca B
LNEN009	0.366562405794062	0	0.483990423141233	0.149447171064705	Ca B
LNEN010	0.0183378481683646	0	0.981662151831635	0	Ca B
LNEN011	0.0399898087895344	0.0382708881075365	0	0.921739303102929	Ca A2
LNEN012	0.817950481958839	0	0.135387481134085	0.0466620369070753	sc-enriched
LNEN013	0.10601504051058	0.740524883158018	0.0930326844892491	0.0604273918421531	Ca A1
LNEN014	0.00260371892177138	0.000473892544506149	0.996922388533722	0	Ca B
LNEN015	0.118240314662389	0.0581183565711701	0.818371227876038	0.00527010089040311	Ca B
LNEN016	0.335989568319815	0.0324772917701741	0.0248953474078101	0.606637792502201	Ca A2
LNEN017	0.238424717595891	0	0.745924471063716	0.0156508113403933	Ca B
LNEN018	0.135894221225121	0.0726288846144024	0.180597096063178	0.610879798097299	Ca A2
LNEN019	0.224202744061306	0.612156184370021	0.1328143128962	0.030826758672473	Ca A1
LNEN020	0.210879793751061	0	0.744823551478863	0.0442966547700755	Ca B
LNEN021	0.268242415133072	0.652000937102525	0.0797566477644031	0	Ca A1
LNEN022	0.741179052162533	0.105880069872619	0.048952284203499	0.103988593761349	sc-enriched
LNEN023	0	0	0.176498864796984	0.823501135203016	Ca A2
LNEN024	0.124157715149796	0.243805703328576	0.0349578558163112	0.597078725705317	Ca A2
LNEN025	0.124215292780531	0	0.0188895052739357	0.856895201945533	Ca A2
