sample_id,archetype_k4_LF3_label
LNEN002,Ca B
LNEN003,Ca A2
LNEN004,Ca A2
LNEN005,sc-enriched
LNEN006,Ca A2
LNEN007,Ca B
LNEN008,Ca B
LNEN009,Ca B
LNEN010,Ca B
LNEN011,Ca A2
LNEN012,sc-enriched
LNEN013,Ca A1
LNEN014,Ca B
LNEN015,Ca B
LNEN016,Ca A2
LNEN017,Ca B
LNEN018,Ca A2
LNEN019,Ca A1
LNEN020,Ca B
LNEN021,Ca A1
LNEN022,sc-enriched
LNEN023,Ca A2
LNEN024,Ca A2
LNEN025,Ca A2
LNEN026,Ca B
LNEN027,Ca A1
LNEN028,Ca A2
LNEN029,Ca B
LNEN030,Ca A2
LNEN031,Ca A2
LNEN032,Ca A2
LNEN033,Ca A2
LNEN034,Ca A1
LNEN035,Ca B
LNEN036,Ca B
LNEN037,sc-enriched
LNEN038,Ca A2
LNEN039,Ca A1
LNEN040,Ca A2
LNEN044_TU,Ca A1
LNEN047_TU,Ca A1
LNEN048_TU,Ca A1
LNEN050_TU,Ca A1
LNEN051_TU,Ca A2
LNEN052_TU,Ca B
LNEN053_TU,Ca B
LNEN054_TU,Ca A2
LNEN055_TU,Ca A2
LNEN056_TU,Ca A2
LNEN057_TU,Ca A1
LNEN058_TU,Ca B
LNEN060_TU,Ca A2
LNEN061_TU,Ca A2
LNEN063_TU,Ca A1
LNEN064_TU,Ca A2
LNEN066_TU,Ca B
LNEN067_TU,Ca B
LNEN068_TU,Ca A1
LNEN069_TU,Ca A1
LNEN071_TU,sc-enriched
LNEN072_TU,Ca B
LNEN073_TU,Ca B
LNEN074_TU,Ca A2
LNEN076_TU,Ca A1
LNEN077_TU,Ca A2
LNEN079_TU,Ca A2
LNEN081_TU,Ca A1
LNEN082_TU,Ca B
LNEN083_TU,Ca B
LNEN084_TU,sc-enriched
LNEN085_TU,Ca A1
LNEN086_TU,Ca A2
LNEN087_TU,Ca B
LNEN089_TU,Ca B
LNEN090_TU,Ca B
LNEN091_TU,Ca A1
LNEN092_TU2,Ca A1
LNEN093_TU2,Ca A1
LNEN094_TU5,Ca B
LNEN095_TU2,Ca B
LNEN096_TU3,Ca A2
LNEN097_TU5,Ca A1
LNEN098_TU1,Ca A2
LNEN099_TU2,Ca A1
LNEN100_TU1,Ca A1
LNEN101_TU1,Ca A2
LNEN102_TU1,Ca A2
LNEN103_TU2,Ca A1
LNEN104_TU3,Ca A1
LNEN105_TU1,Ca A1
LNEN106_TU1,Ca B
LNEN107_TU2,sc-enriched
LNEN108_TU1,Ca A1
LNEN109_TU,Ca A1
LNEN110_TU,Ca B
LNEN111_TU2,Ca B
LNEN112_TU1,Ca A2
LNEN113_TU2,Ca A1
LNEN114_TU2,Ca A2
LNEN115_TU1,Ca A2
LNEN116_TU1,Ca B
LNEN117_TU1,Ca A1
LNEN118_TU2,Ca A2
LNEN119_TU3,Ca B
LNEN121_TU,Ca A2
LNEN122_TU,Ca B
LNEN123_TU,Ca A1
LNEN125_TU,Ca B
LNEN126_TU,Ca B
LNEN127_TU,Ca A2
LNEN128_TU,Ca A2
LNEN129_TU,Ca A2
LNEN130_TU,Ca B
LNEN131_TU,Ca B
LNEN132_TU,Ca B
LNEN133_TU,Ca B
LNEN134_TU,Ca A1
LNEN135_TU,Ca A1
LNEN136_TU,Ca A1
LNEN137_TU,Ca A2
LNEN139_TU,Ca A1
LNEN140_TU,Ca A1
LNEN142_TU,Ca B
LNEN143_TU,Ca A1
LNEN145_TU,Ca A2
LNEN146_TU,Ca A1
LNEN147_TU,Ca A1
LNEN148_TU,Ca A1
LNEN151_TU3,Ca A2
